Alewife,164,118
Davis,187,117
Porter Square,219,123
Harvard Square,241,143
Central Square,259,162
Kendall/MIT,281,183
Charles/MGH,302,203
Park Street,317,217
Downtown Crossing,333,237
South Station,358,261
Broadway,363,285
Andrew,363,308
JFK/UMass,362,328
Savin Hill,350,344
Fields Corner,336,362
Shawmut,335,376
Ashmont,334,393
Cedar Grove,334,414
Butler,325,422
Milton,310,422
Central Avenue,294,422
Valley Road,278,423
Capen Street,263,424
Mattapan,246,423
North Quincy,408,415
Wollaston,430,435
Quincy Center,448,454
Quincy Adams,468,475
Braintree,474,517
Oak Grove,333,50
Malden Center,335,69
Wellington,335,88
Sullivan Square,335,111
Community College,335,131
North Station,339,159
Haymarket,355,181
State,354,216
Downtown Crossing,335,236
Chinatown,316,254
New England Medical Center,305,264
Back Bay,296,278
Massachusetts Avenue,286,286
Ruggles,275,295
Roxbury Crossing,266,305
Jackson Square,256,314
Stony Brook,247,326
Green Street,238,335
Forest Hills,226,343
Lechmere,304,133
Science Park,323,152
North Station,334,163
Haymarket,346,181
Government Center,334,198
Park Street,316,219
Boylston,303,232
Arlington,286,237
Copley,269,238
Hynes Convention Center,257,238
Kenmore,242,237
Blandford Street,232,229
Boston University East,227,224
Boston University Central,223,221
Boston University West,217,215
St. Paul Street (1),215,213
Pleasant Street,210,207
Babcock Street,206,207
Packards Corner,200,208
Harvard Avenue,193,208
Griggs Street/Long Avenue,187,209
Allston Street,181,209
Warren Street,175,210
Washington Street,171,213
Sutherland Street,166,218
Chiswick Road,161,224
Chestnut Hill Avenue,158,227
South Street,153,229
Boston College,137,225
St. Marys Street,219,239
Hawes Street,209,237
Kent Street,205,238
St. Paul Street (2),200,238
Coolidge Corner,195,238
Summit Avenue,189,238
Brandon Hall,183,238
Fairbanks,178,238
Washington Square,172,238
Tappan Street,167,238
Dean Road,163,238
Englewood Avenue,155,238
Cleveland Circle,148,238
Fenway,217,248
Longwood,206,260
Brookline Village,195,271
Brookline Hills,171,271
Beaconsfield,154,257
Reservoir,141,244
Chestnut Hill,125,241
Newton Center,115,241
Newton Highlands,99,242
Eliot,87,243
Waban,76,243
Woodland,64,242
Riverside,44,240
Prudential,256,264
Symphony,250,269
Northeastern University,246,274
Museum of Fine Arts,242,277
Longwood Medical Area,238,283
Brigham Circle,234,287
Fenwood Street,230,290
Mission Park,229,297
Riverway,227,301
Back of the Hill,227,305
Heath Street,226,317
Wonderland,509,63
Revere Beach,490,80
Beachmont,477,96
Suffolk Downs,462,109
Orient Heights,446,125
Wood Island,433,139
Airport,418,154
Maverick,406,167
Aquarium,372,198
State,353,218
Government Center,336,197
Bowdoin,321,182
